dataset_id,provider,official_url,free,license_or_terms,coverage_start,coverage_end,native_frequency,publication_delay,revision_policy,historical_vintages_available,causal_available_at,schema,format,quality,gaps,survivorship_status,corporate_actions,timezone,calendar,download_method,reproducibility,free_fallback,classification,rejection_reason
V2DS001,Aurora V1 audited SPY total-return ledger,https://github.com/trading-optimizer-lab-org/aurora/pull/114,true,"Review provider terms; store bounded retrieval code, metadata and hashes; do not redistribute restricted raw history.",1993-01-29,2010-12-31,daily,market data available after the regular close; official metadata as published,Provider may correct history; every raw snapshot is immutable and SHA-256-addressed.,not_applicable_for_market_data,Daily predictor values become eligible after SPY regular close t; no value dated after t may enter the decision.,"session, raw_open, raw_high, raw_low, raw_close, raw_volume, split_factor, cash_distribution, tr_open, tr_close",JSON/CSV/Parquet or repository artifact,high_after_v1_audit,Reuse the exact V1 audited ledger and corporate-action rules; hash identity is mandatory.,fixed_ticker_panel_or_not_applicable,SPY target uses audited total-return ledger; predictor ETFs use split-normalized price-only series with dividends explicitly excluded.,America/New_York; historical DST preserved,NYSE/SPY sessions; intersect fixed-ETF panels without future fill.,"Bounded adapter with explicit start/end, raw-byte hash, response metadata, schema validation and locked firewall.",deterministic_after_snapshot,V1 cached snapshot or explicit rejection; no silent source replacement.,usable_now,
V2DS002,Yahoo Finance chart endpoint — raw SPY OHLCV bounded snapshot,https://query1.finance.yahoo.com/v8/finance/chart/SPY,true,"Review provider terms; store bounded retrieval code, metadata and hashes; do not redistribute restricted raw history.",1993-01-29,2010-12-31,daily,market data available after the regular close; official metadata as published,Provider may correct history; every raw snapshot is immutable and SHA-256-addressed.,not_applicable_for_market_data,Daily predictor values become eligible after SPY regular close t; no value dated after t may enter the decision.,"timestamp, open, high, low, close, volume, splits, dividends",JSON/CSV/Parquet or repository artifact,medium_after_cross_check,Raw predictor fields only after adjudication against the V1 snapshot; no adjusted-open inference.,fixed_ticker_panel_or_not_applicable,SPY target uses audited total-return ledger; predictor ETFs use split-normalized price-only series with dividends explicitly excluded.,America/New_York; historical DST preserved,NYSE/SPY sessions; intersect fixed-ETF panels without future fill.,"Bounded adapter with explicit start/end, raw-byte hash, response metadata, schema validation and locked firewall.",deterministic_after_snapshot,V1 cached snapshot or explicit rejection; no silent source replacement.,usable_after_repair,
V2DS003,State Street / SEC audited SPY distribution and split inputs from V1,https://www.ssga.com/us/en/individual/etfs/spdr-sp-500-etf-trust-spy,true,"Review provider terms; store bounded retrieval code, metadata and hashes; do not redistribute restricted raw history.",1993-01-29,2010-12-31,event,market data available after the regular close; official metadata as published,Provider may correct history; every raw snapshot is immutable and SHA-256-addressed.,not_applicable_for_market_data,Daily predictor values become eligible after SPY regular close t; no value dated after t may enter the decision.,"ex_date, distribution_amount, split_ratio, source, official_audit_status",JSON/CSV/Parquet or repository artifact,high_after_v1_audit,Mandatory for target return ledger; no new action source may silently replace it.,fixed_ticker_panel_or_not_applicable,SPY target uses audited total-return ledger; predictor ETFs use split-normalized price-only series with dividends explicitly excluded.,America/New_York; historical DST preserved,NYSE/SPY sessions; intersect fixed-ETF panels without future fill.,"Bounded adapter with explicit start/end, raw-byte hash, response metadata, schema validation and locked firewall.",deterministic_after_snapshot,V1 cached snapshot or explicit rejection; no silent source replacement.,usable_now,
V2DS004,Yahoo bounded raw OHLCV — nine fixed Select Sector SPDR ETFs,"https://query1.finance.yahoo.com/v8/finance/chart/{XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY}",true,"Review provider terms; store bounded retrieval code, metadata and hashes; do not redistribute restricted raw history.",1998-12-22,2010-12-31,daily,market data available after the regular close; official metadata as published,Provider may correct history; every raw snapshot is immutable and SHA-256-addressed.,not_applicable_for_market_data,Daily predictor values become eligible after SPY regular close t; no value dated after t may enter the decision.,"symbol, session, raw_open, raw_high, raw_low, raw_close, raw_volume, split_events",JSON/CSV/Parquet or repository artifact,medium_after_official_identity_and_overlap_checks,"Fixed ticker panel, not reconstructed constituents. Use split-normalized price-only closes; exclude dividends from predictor ratios.",fixed_ticker_panel_or_not_applicable,SPY target uses audited total-return ledger; predictor ETFs use split-normalized price-only series with dividends explicitly excluded.,America/New_York; historical DST preserved,NYSE/SPY sessions; intersect fixed-ETF panels without future fill.,"Bounded adapter with explicit start/end, raw-byte hash, response metadata, schema validation and locked firewall.",deterministic_after_snapshot,V1 cached snapshot or explicit rejection; no silent source replacement.,usable_after_repair,
V2DS005,Yahoo bounded raw OHLCV — fixed risk-appetite ETFs,"https://query1.finance.yahoo.com/v8/finance/chart/{DIA,QQQ,IWM,IEF,TLT}",true,"Review provider terms; store bounded retrieval code, metadata and hashes; do not redistribute restricted raw history.",1998-01-14,2010-12-31,daily,market data available after the regular close; official metadata as published,Provider may correct history; every raw snapshot is immutable and SHA-256-addressed.,not_applicable_for_market_data,Daily predictor values become eligible after SPY regular close t; no value dated after t may enter the decision.,"symbol, session, raw_open, raw_high, raw_low, raw_close, raw_volume, split_events",JSON/CSV/Parquet or repository artifact,medium_after_official_identity_and_overlap_checks,Each candidate starts only when every symbol it requires has enough causal warmup; no synthetic pre-inception backfill.,fixed_ticker_panel_or_not_applicable,SPY target uses audited total-return ledger; predictor ETFs use split-normalized price-only series with dividends explicitly excluded.,America/New_York; historical DST preserved,NYSE/SPY sessions; intersect fixed-ETF panels without future fill.,"Bounded adapter with explicit start/end, raw-byte hash, response metadata, schema validation and locked firewall.",deterministic_after_snapshot,V1 cached snapshot or explicit rejection; no silent source replacement.,usable_after_repair,
V2DS006,Yahoo bounded raw OHLCV — RSP and SPY,"https://query1.finance.yahoo.com/v8/finance/chart/{RSP,SPY}",true,"Review provider terms; store bounded retrieval code, metadata and hashes; do not redistribute restricted raw history.",2003-04-24,2010-12-31,daily,market data available after the regular close; official metadata as published,Provider may correct history; every raw snapshot is immutable and SHA-256-addressed.,not_applicable_for_market_data,Daily predictor values become eligible after SPY regular close t; no value dated after t may enter the decision.,"symbol, session, raw_close, split_events",JSON/CSV/Parquet or repository artifact,medium_after_official_identity_and_overlap_checks,Equal-weight concentration proxy; first raw bar and official fund identity must be verified.,fixed_ticker_panel_or_not_applicable,SPY target uses audited total-return ledger; predictor ETFs use split-normalized price-only series with dividends explicitly excluded.,America/New_York; historical DST preserved,NYSE/SPY sessions; intersect fixed-ETF panels without future fill.,"Bounded adapter with explicit start/end, raw-byte hash, response metadata, schema validation and locked firewall.",deterministic_after_snapshot,V1 cached snapshot or explicit rejection; no silent source replacement.,usable_after_repair,
V2DS007,Aurora V1 final results artifact,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30985200320,true,"Review provider terms; store bounded retrieval code, metadata and hashes; do not redistribute restricted raw history.",1993-01-29,2010-12-31,artifact,market data available after the regular close; official metadata as published,Provider may correct history; every raw snapshot is immutable and SHA-256-addressed.,not_applicable_for_market_data,Daily predictor values become eligible after SPY regular close t; no value dated after t may enter the decision.,"V1 strategy identities, status, daily returns, metrics, rejection reasons, multiple-testing outputs",JSON/CSV/Parquet or repository artifact,high_verified_artifact,Exact artifact ID 8922049799; expected ZIP SHA-256 164ce2d50909c5224e5260fa185516e9ecee368d948201852f35a72fa0780775.,fixed_ticker_panel_or_not_applicable,SPY target uses audited total-return ledger; predictor ETFs use split-normalized price-only series with dividends explicitly excluded.,America/New_York; historical DST preserved,NYSE/SPY sessions; intersect fixed-ETF panels without future fill.,"Bounded adapter with explicit start/end, raw-byte hash, response metadata, schema validation and locked firewall.",deterministic_after_snapshot,V1 cached snapshot or explicit rejection; no silent source replacement.,usable_now,
V2DS008,NYSE official trading calendar plus V1 calendar snapshot,https://www.nyse.com/markets/hours-calendars,true,"Review provider terms; store bounded retrieval code, metadata and hashes; do not redistribute restricted raw history.",1993-01-01,2010-12-31,session_calendar,market data available after the regular close; official metadata as published,Provider may correct history; every raw snapshot is immutable and SHA-256-addressed.,not_applicable_for_market_data,Daily predictor values become eligible after SPY regular close t; no value dated after t may enter the decision.,"session, regular_open, regular_close, holiday_or_exception",JSON/CSV/Parquet or repository artifact,high_after_snapshot,V1 session mapping is authoritative unless a documented calendar defect is found.,fixed_ticker_panel_or_not_applicable,SPY target uses audited total-return ledger; predictor ETFs use split-normalized price-only series with dividends explicitly excluded.,America/New_York; historical DST preserved,NYSE/SPY sessions; intersect fixed-ETF panels without future fill.,"Bounded adapter with explicit start/end, raw-byte hash, response metadata, schema validation and locked firewall.",deterministic_after_snapshot,V1 cached snapshot or explicit rejection; no silent source replacement.,usable_now,
V2DS009,Official ETF sponsor identity/inception metadata,https://www.ssga.com/us/en/individual/etfs,true,"Review provider terms; store bounded retrieval code, metadata and hashes; do not redistribute restricted raw history.",1998-01-14,current,metadata,market data available after the regular close; official metadata as published,Provider may correct history; every raw snapshot is immutable and SHA-256-addressed.,not_applicable_for_market_data,Daily predictor values become eligible after SPY regular close t; no value dated after t may enter the decision.,"ticker, fund_name, inception_date, listing_date, sponsor_url",JSON/CSV/Parquet or repository artifact,high,Identity and first-possible date only; not a price feed.,fixed_ticker_panel_or_not_applicable,SPY target uses audited total-return ledger; predictor ETFs use split-normalized price-only series with dividends explicitly excluded.,America/New_York; historical DST preserved,NYSE/SPY sessions; intersect fixed-ETF panels without future fill.,"Bounded adapter with explicit start/end, raw-byte hash, response metadata, schema validation and locked firewall.",deterministic_after_snapshot,V1 cached snapshot or explicit rejection; no silent source replacement.,usable_now,
V2DS010,Stooq fixed ETF raw OHLCV secondary cross-check,https://stooq.com/q/d/,true,"Review provider terms; store bounded retrieval code, metadata and hashes; do not redistribute restricted raw history.",provider_history,2010-12-31,daily,market data available after the regular close; official metadata as published,Provider may correct history; every raw snapshot is immutable and SHA-256-addressed.,not_applicable_for_market_data,Daily predictor values become eligible after SPY regular close t; no value dated after t may enter the decision.,"symbol, date, open, high, low, close, volume",JSON/CSV/Parquet or repository artifact,secondary_only_due_rate_limits_and_metadata,Never silently substitute for primary Yahoo/V1 snapshots; use only as a discrepancy adjudicator when available.,fixed_ticker_panel_or_not_applicable,SPY target uses audited total-return ledger; predictor ETFs use split-normalized price-only series with dividends explicitly excluded.,America/New_York; historical DST preserved,NYSE/SPY sessions; intersect fixed-ETF panels without future fill.,"Bounded adapter with explicit start/end, raw-byte hash, response metadata, schema validation and locked firewall.",deterministic_after_snapshot,V1 cached snapshot or explicit rejection; no silent source replacement.,proxy_only,SECONDARY_ONLY_NOT_EXECUTION_GRADE
