feature_id,family,feature_name,formula,inputs,lookback,frequency,available_at,causal_lag,normalization,missing_data_rule,warmup,point_in_time_requirement,canonical_hash_basis,research_source_ids,candidate_strategy_ids,risk_notes
FEAT0001,price_trend_sma,Price versus simple moving average — SMA_50,sma_t = mean(TR_CLOSE[t-49:t]) ; score_t = TR_CLOSE_t - sma_t,"[""DS002"", ""DS001""]",50,daily decision / source-native updates carried causally,after SPY regular-session close t and after every non-price input release_time <= close_t,source-specific release lag; decision only after release_time <= close_t,none; all rolling statistics use only observations available through close t,"Do not backfill from the future. Within source-specific staleness limits, carry forward only a value already released; otherwise preserve the previous +1/-1 position.",50,"All macro, survey, positioning and revised-index inputs require vintage/release timestamps; price data require action-consistent history.",e55dfb81b5f5da475b7fe6eb83b9404f078aa88d1921d140713357ab306a354e,"[""SRC0001"", ""SRC0002"", ""SRC0003""]","[""STRAT0001""]",whipsaw in sideways markets; sharp rebound after short state
FEAT0002,price_trend_sma,Price versus simple moving average — SMA_100,sma_t = mean(TR_CLOSE[t-99:t]) ; score_t = TR_CLOSE_t - sma_t,"[""DS002"", ""DS001""]",100,daily decision / source-native updates carried causally,after SPY regular-session close t and after every non-price input release_time <= close_t,source-specific release lag; decision only after release_time <= close_t,none; all rolling statistics use only observations available through close t,"Do not backfill from the future. Within source-specific staleness limits, carry forward only a value already released; otherwise preserve the previous +1/-1 position.",100,"All macro, survey, positioning and revised-index inputs require vintage/release timestamps; price data require action-consistent history.",5700ce7d26261b49caf3e5fb022b8d139131fba7cd484c89469dc76e961537e6,"[""SRC0001"", ""SRC0002"", ""SRC0003""]","[""STRAT0002""]",whipsaw in sideways markets; sharp rebound after short state
FEAT0003,price_trend_sma,Price versus simple moving average — SMA_150,sma_t = mean(TR_CLOSE[t-149:t]) ; score_t = TR_CLOSE_t - sma_t,"[""DS002"", ""DS001""]",150,daily decision / source-native updates carried causally,after SPY regular-session close t and after every non-price input release_time <= close_t,source-specific release lag; decision only after release_time <= close_t,none; all rolling statistics use only observations available through close t,"Do not backfill from the future. Within source-specific staleness limits, carry forward only a value already released; otherwise preserve the previous +1/-1 position.",150,"All macro, survey, positioning and revised-index inputs require vintage/release timestamps; price data require action-consistent history.",d01e5d4da544d6224f54aa311cfed1b15469b8886266af66a4ae5945a355cdfa,"[""SRC0001"", ""SRC0002"", ""SRC0003""]","[""STRAT0003""]",whipsaw in sideways markets; sharp rebound after short state
FEAT0004,price_trend_sma,Price versus simple moving average — SMA_200,sma_t = mean(TR_CLOSE[t-199:t]) ; score_t = TR_CLOSE_t - sma_t,"[""DS002"", ""DS001""]",200,daily decision / source-native updates carried causally,after SPY regular-session close t and after every non-price input release_time <= close_t,source-specific release lag; decision only after release_time <= close_t,none; all rolling statistics use only observations available through close t,"Do not backfill from the future. Within source-specific staleness limits, carry forward only a value already released; otherwise preserve the previous +1/-1 position.",200,"All macro, survey, positioning and revised-index inputs require vintage/release timestamps; price data require action-consistent history.",c4c7cef2adcdde05f0fae80b84a63913b099a5d50b2170bfe45672766b58e3c2,"[""SRC0001"", ""SRC0002"", ""SRC0003""]","[""STRAT0004""]",whipsaw in sideways markets; sharp rebound after short state
FEAT0005,price_trend_sma,Price versus simple moving average — SMA_250,sma_t = mean(TR_CLOSE[t-249:t]) ; score_t = TR_CLOSE_t - sma_t,"[""DS002"", ""DS001""]",250,daily decision / source-native updates carried causally,after SPY regular-session close t and after every non-price input release_time <= close_t,source-specific release lag; decision only after release_time <= close_t,none; all rolling statistics use only observations available through close t,"Do not backfill from the future. Within source-specific staleness limits, carry forward only a value already released; otherwise preserve the previous +1/-1 position.",250,"All macro, survey, positioning and revised-index inputs require vintage/release timestamps; price data require action-consistent history.",55371faea223e74ee6f792b6934982c188d66f3b91ee168eb965083d79f3c4c6,"[""SRC0001"", ""SRC0002"", ""SRC0003""]","[""STRAT0005""]",whipsaw in sideways markets; sharp rebound after short state
FEAT0006,price_trend_sma,Price versus simple moving average — SMA_300,sma_t = mean(TR_CLOSE[t-299:t]) ; score_t = TR_CLOSE_t - sma_t,"[""DS002"", ""DS001""]",300,daily decision / source-native updates carried causally,after SPY regular-session close t and after every non-price input release_time <= close_t,source-specific release lag; decision only after release_time <= close_t,none; all rolling statistics use only observations available through close t,"Do not backfill from the future. Within source-specific staleness limits, carry forward only a value already released; otherwise preserve the previous +1/-1 position.",300,"All macro, survey, positioning and revised-index inputs require vintage/release timestamps; price data require action-consistent history.",c69e49209f0a2a549a4bc48f2640bb353de493ea4a56d524b6408c613b21aaa9,"[""SRC0001"", ""SRC0002"", ""SRC0003""]","[""STRAT0006""]",whipsaw in sideways markets; sharp rebound after short state
FEAT0007,time_series_momentum,Own-return time-series momentum — RET_21,score_t = TR_CLOSE_t / TR_CLOSE[t-21] - 1,"[""DS002"", ""DS001""]",22,daily decision / source-native updates carried causally,after SPY regular-session close t and after every non-price input release_time <= close_t,source-specific release lag; decision only after release_time <= close_t,none; all rolling statistics use only observations available through close t,"Do not backfill from the future. Within source-specific staleness limits, carry forward only a value already released; otherwise preserve the previous +1/-1 position.",22,"All macro, survey, positioning and revised-index inputs require vintage/release timestamps; price data require action-consistent history.",8b4f77478fa40b4d5e585733dce628a64e54afe4c94e08290057a1290eef3d47,"[""SRC0020"", ""SRC0021"", ""SRC0022""]","[""STRAT0007""]",momentum crashes; horizon instability
FEAT0008,time_series_momentum,Own-return time-series momentum — RET_63,score_t = TR_CLOSE_t / TR_CLOSE[t-63] - 1,"[""DS002"", ""DS001""]",64,daily decision / source-native updates carried causally,after SPY regular-session close t and after every non-price input release_time <= close_t,source-specific release lag; decision only after release_time <= close_t,none; all rolling statistics use only observations available through close t,"Do not backfill from the future. Within source-specific staleness limits, carry forward only a value already released; otherwise preserve the previous +1/-1 position.",64,"All macro, survey, positioning and revised-index inputs require vintage/release timestamps; price data require action-consistent history.",7388a59bd72e335c623aff7d4ce6b3dabd88f518d92d5c3df56de16c49ad952f,"[""SRC0020"", ""SRC0021"", ""SRC0022""]","[""STRAT0008""]",momentum crashes; horizon instability
FEAT0009,time_series_momentum,Own-return time-series momentum — RET_126,score_t = TR_CLOSE_t / TR_CLOSE[t-126] - 1,"[""DS002"", ""DS001""]",127,daily decision / source-native updates carried causally,after SPY regular-session close t and after every non-price input release_time <= close_t,source-specific release lag; decision only after release_time <= close_t,none; all rolling statistics use only observations available through close t,"Do not backfill from the future. Within source-specific staleness limits, carry forward only a value already released; otherwise preserve the previous +1/-1 position.",127,"All macro, survey, positioning and revised-index inputs require vintage/release timestamps; price data require action-consistent history.",0d2f526cf1129f25aa73bb8aa64d3e14a9390f4378f5bb4161f5822977ca35d7,"[""SRC0020"", ""SRC0021"", ""SRC0022""]","[""STRAT0009""]",momentum crashes; horizon instability
FEAT0010,time_series_momentum,Own-return time-series momentum — RET_189,score_t = TR_CLOSE_t / TR_CLOSE[t-189] - 1,"[""DS002"", ""DS001""]",190,daily decision / source-native updates carried causally,after SPY regular-session close t and after every non-price input release_time <= close_t,source-specific release lag; decision only after release_time <= close_t,none; all rolling statistics use only observations available through close t,"Do not backfill from the future. Within source-specific staleness limits, carry forward only a value already released; otherwise preserve the previous +1/-1 position.",190,"All macro, survey, positioning and revised-index inputs require vintage/release timestamps; price data require action-consistent history.",40e23d29fd1314b5d1c9dd426e2c2970048edafb3351024a252bd43fc33daa95,"[""SRC0020"", ""SRC0021"", ""SRC0022""]","[""STRAT0010""]",momentum crashes; horizon instability
