task_id,repository_id,base_ref,base_sha,working_branch,planned_files,acceptance_command,expected_result,acceptance_workflow,merge_dependency,rollback_command_or_manifest
PREV7-0000,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,"[""docs/plans/gtbi-v7-master-plan.md"",""docs/readiness/gtbi-v7"",""infra/gtbi_v7_readiness"","".github/workflows/gtbi-v7-master-plan-quality.yml""]",python scripts/validate_gtbi_v7_pr1_merge_reconciliation.py,PREV7-0000_merge_evidence_complete,gtbi-v7-master-plan-quality.yml,https://github.com/trading-optimizer-lab-org/aurora/pull/21,append-only correction receipt; never rewrite PR-1 evidence
PREV7-0001,trading-optimizer-lab-org/aurora,refs/heads/main,3b6bf272516cbf2cc7c7bafee9c4dfdd80ac7ade,gtbi-readiness-state/g0-owner-close-v1,"[""docs/readiness/gtbi-v7/g0_owner_controlled_foundation_report.json"",""docs/readiness/gtbi-v7/inventory_github_actions_attempt_receipt.json"",""docs/readiness/gtbi-v7/local_data_lake_receipt.json""]",,Regenerated emergency GitHub inventory plus non-blocking local-state receipt `inventoried|unavailable`,gtbi-v7-master-plan-quality.yml,transition-manifest:g0-owner-close-v1,append-only correction manifest
PREV7-0002,trading-optimizer-lab-org/aurora,refs/heads/main,3b6bf272516cbf2cc7c7bafee9c4dfdd80ac7ade,gtbi-readiness-state/g0-owner-close-v1,"[""docs/readiness/gtbi-v7/g0_owner_controlled_foundation_report.json"",""docs/readiness/gtbi-v7/legacy_run_cleanup_receipt.json""]",,Approved cancellation manifest plus API receipts and terminal states for legacy runs,gtbi-v7-master-plan-quality.yml,transition-manifest:g0-owner-close-v1,append-only correction manifest
PREV7-0003,trading-optimizer-lab-org/aurora,refs/heads/main,3b6bf272516cbf2cc7c7bafee9c4dfdd80ac7ade,gtbi-readiness-state/g0-owner-close-v1,"[""docs/readiness/gtbi-v7/g0_owner_controlled_foundation_report.json"",""docs/readiness/gtbi-v7/v6_durable_preservation_receipt.json"",""docs/readiness/gtbi-v7/v6_final_result_scientific_asset_manifest.json""]",,"Durable V6 final-result archive, requiring the live PREV7-0012 escrow-guard receipt and promoting the emergency escrow bytes when that branch was selected",gtbi-v7-master-plan-quality.yml,transition-manifest:g0-owner-close-v1,append-only correction manifest
PREV7-0004,trading-optimizer-lab-org/aurora,refs/heads/main,3b6bf272516cbf2cc7c7bafee9c4dfdd80ac7ade,gtbi-readiness-state/g0-owner-close-v1,"[""docs/readiness/gtbi-v7/g0_owner_controlled_foundation_report.json"",""docs/readiness/gtbi-v7/locked_evidence_preservation_report.json"",""docs/readiness/gtbi-v7/locked_evidence_primary_verification.json"",""docs/readiness/gtbi-v7/locked_evidence_mirror_verification.json""]",,Locked evidence archive,gtbi-v7-master-plan-quality.yml,transition-manifest:g0-owner-close-v1,append-only correction manifest
PREV7-0005,trading-optimizer-lab-org/aurora,refs/heads/main,3b6bf272516cbf2cc7c7bafee9c4dfdd80ac7ade,gtbi-readiness-state/g0-owner-close-v1,"[""docs/readiness/gtbi-v7/g0_owner_controlled_foundation_report.json"",""docs/readiness/gtbi-v7/v6_dependency_recovery_report.json"",""docs/readiness/gtbi-v7/v6_final_result_scientific_asset_manifest.json""]",,V6 dependency-chain recovery report and preservation of recovered bytes,gtbi-v7-master-plan-quality.yml,transition-manifest:g0-owner-close-v1,append-only correction manifest
PREV7-0006,trading-optimizer-lab-org/aurora,refs/heads/main,3b6bf272516cbf2cc7c7bafee9c4dfdd80ac7ade,gtbi-readiness-state/g0-owner-close-v1,"[""docs/readiness/gtbi-v7/g0_owner_controlled_foundation_report.json"",""docs/readiness/gtbi-v7/v6_durable_preservation_receipt.json"",""docs/readiness/gtbi-v7/owner_decisions.json""]",,Emergency private asset storage and evidence-classification policy,gtbi-v7-master-plan-quality.yml,transition-manifest:g0-owner-close-v1,append-only correction manifest
PREV7-0007,trading-optimizer-lab-org/aurora,refs/heads/main,3b6bf272516cbf2cc7c7bafee9c4dfdd80ac7ade,gtbi-readiness-state/g0-owner-close-v1,"[""docs/readiness/gtbi-v7/g0_owner_controlled_foundation_report.json"",""docs/readiness/gtbi-v7/owner_decisions.json"",""docs/readiness/gtbi-v7/locked_evidence_primary_verification.json""]",,Short-lived private asset authentication approved jointly by repository owner and source key-broker custodian,gtbi-v7-master-plan-quality.yml,transition-manifest:g0-owner-close-v1,append-only correction manifest
PREV7-0008,trading-optimizer-lab-org/aurora,refs/heads/main,3b6bf272516cbf2cc7c7bafee9c4dfdd80ac7ade,gtbi-readiness-state/g0-owner-close-v1,"[""docs/readiness/gtbi-v7/g0_owner_controlled_foundation_report.json"",""docs/readiness/gtbi-v7/v6_data_pack_primary_verification.json"",""docs/readiness/gtbi-v7/v6_data_pack_mirror_verification.json"",""docs/readiness/gtbi-v7/locked_evidence_primary_verification.json"",""docs/readiness/gtbi-v7/locked_evidence_mirror_verification.json""]",,"Registered fail-closed V6 final, locked-evidence and recovered-byte preservation/restore workflows",gtbi-v7-master-plan-quality.yml,transition-manifest:g0-owner-close-v1,append-only correction manifest
PREV7-0009,trading-optimizer-lab-org/aurora,refs/heads/main,3b6bf272516cbf2cc7c7bafee9c4dfdd80ac7ade,gtbi-readiness-state/g0-owner-close-v1,"[""docs/readiness/gtbi-v7/g0_owner_controlled_foundation_report.json"",""docs/readiness/gtbi-v7/github_packages_inventory_receipt.json"",""docs/readiness/gtbi-v7/owner_decisions.json""]",,"GitHub-native owner-controlled access foundation, provider/account/region/cost cap and tested bootstrap/import/rotation/recovery/teardown paths",gtbi-v7-master-plan-quality.yml,transition-manifest:g0-owner-close-v1,append-only correction manifest
PREV7-0010,trading-optimizer-lab-org/aurora,refs/heads/main,3b6bf272516cbf2cc7c7bafee9c4dfdd80ac7ade,gtbi-readiness-state/g0-owner-close-v1,"[""docs/readiness/gtbi-v7/g0_owner_controlled_foundation_report.json"",""docs/readiness/gtbi-v7/state_controller_manifest.json"",""docs/readiness/gtbi-v7/state_controller_recovery_receipt.json"",""docs/readiness/gtbi-v7/state_controller_smoke_receipt.json""]",,"Monofunction readiness-state-controller App, protected CAS/WORM event publisher, recovery/rollback proof and bootstrap-event reconciliation",gtbi-v7-master-plan-quality.yml,transition-manifest:g0-owner-close-v1,append-only correction manifest
PREV7-0011,trading-optimizer-lab-org/aurora,refs/heads/main,3b6bf272516cbf2cc7c7bafee9c4dfdd80ac7ade,gtbi-readiness-state/g0-owner-close-v1,"[""docs/readiness/gtbi-v7/g0_owner_controlled_foundation_report.json"",""docs/readiness/gtbi-v7/owner_simplification_directive.json"",""docs/readiness/gtbi-v7/state_controller_recovery_receipt.json""]",,"Conditional bootstrap no-go closer for partial G0 resources, evidence and costs; cancelled on normal progress only in the atomic `G0_READY_EXCEPT_0011 -> G0_GREEN` transaction",gtbi-v7-master-plan-quality.yml,transition-manifest:g0-owner-close-v1,append-only correction manifest
PREV7-0012,trading-optimizer-lab-org/aurora,refs/heads/main,3b6bf272516cbf2cc7c7bafee9c4dfdd80ac7ade,gtbi-readiness-state/g0-owner-close-v1,"[""docs/readiness/gtbi-v7/g0_owner_controlled_foundation_report.json"",""docs/readiness/gtbi-v7/v6_preservation_lease_public_receipt.json"",""docs/readiness/gtbi-v7/locked_evidence_preservation_report.json"",""docs/readiness/gtbi-v7/locked_evidence_primary_verification.json"",""docs/readiness/gtbi-v7/locked_evidence_mirror_verification.json""]",,Verified GitHub V6 preservation lease and expiry monitor; no external escrow or separate custodian is required,gtbi-v7-master-plan-quality.yml,transition-manifest:g0-owner-close-v1,append-only correction manifest
PREV7-0101,trading-optimizer-lab-org/aurora,refs/heads/main,74c3c2137783d5a9ce83884ba57f0c86a8dca498,gtbi-readiness-state/g1a-identity-close-v1,"[""docs/readiness/gtbi-v7/v7_identity_scope_receipt.json"",""docs/readiness/gtbi-v7/owner_decisions.json"",""docs/readiness/gtbi-v7/g0_state_transition_reconciliation_receipt.json""]",,Unified V7 target recorded only after bootstrap genesis exists,gtbi-v7-master-plan-quality.yml,transition-manifest:g1a-identity-close-v1,append-only correction manifest
PREV7-0102,trading-optimizer-lab-org/aurora,refs/heads/main,74c3c2137783d5a9ce83884ba57f0c86a8dca498,gtbi-readiness-state/g1a-identity-close-v1,"[""docs/readiness/gtbi-v7/v7_identity_scope_receipt.json"",""docs/readiness/gtbi-v7/owner_decisions.json"",""docs/readiness/gtbi-v7/g0_state_transition_reconciliation_receipt.json""]",,V7 identity and exclusions ADR,gtbi-v7-master-plan-quality.yml,transition-manifest:g1a-identity-close-v1,append-only correction manifest
PREV7-0103,trading-optimizer-lab-org/aurora,refs/heads/main,74c3c2137783d5a9ce83884ba57f0c86a8dca498,gtbi-readiness-state/g1a-identity-close-v1,"[""docs/readiness/gtbi-v7/v7_identity_scope_receipt.json"",""docs/readiness/gtbi-v7/owner_decisions.json"",""docs/readiness/gtbi-v7/g0_state_transition_reconciliation_receipt.json""]",,Scope and non-goals approval,gtbi-v7-master-plan-quality.yml,transition-manifest:g1a-identity-close-v1,append-only correction manifest
PREV7-0201,trading-optimizer-lab-org/aurora,refs/heads/main,aab58451fc590dc710a874847219450666268a56,gtbi-readiness-state/g1b-role-registry-close-v1,"[""docs/readiness/gtbi-v7/g1b_role_registry_receipt.json"",""docs/readiness/gtbi-v7/owner_simplification_directive.json"",""docs/readiness/gtbi-v7/g1a_state_transition_reconciliation_receipt.json""]",,"Owner-controlled responsibility registry mapping legacy capability labels to the owner or automation; no vacancies, incompatibility separation or additional people required",gtbi-v7-master-plan-quality.yml,transition-manifest:g1b-role-registry-close-v1,append-only correction manifest
PREV7-0202,trading-optimizer-lab-org/aurora,refs/heads/main,469a74f28bb6ade4a8331b7b43a20f871ba6074e,gtbi-readiness-state/g3a-minimum-governance-close-v1,"[""docs/readiness/gtbi-v7/g3a_github_live_receipt.json"",""docs/readiness/gtbi-v7/owner_simplification_directive.json""]",,Stage-one main protection; stage two pending reviewer,gtbi-v7-master-plan-quality.yml,transition-manifest:g3a-minimum-governance-close-v1,append-only correction manifest
PREV7-0203,trading-optimizer-lab-org/aurora,refs/heads/main,152258faa9b0e194238c437cd5270a387eb4c9cd,gtbi-readiness-state/g3b-codeowners-owner-v1,"[""docs/readiness/gtbi-v7/g3b_codeowners_owner_receipt.json"",""docs/readiness/gtbi-v7/owner_simplification_directive.json"",""docs/readiness/gtbi-v7/owner_decisions.json""]",,CODEOWNERS with the repository owner,gtbi-v7-master-plan-quality.yml,transition-manifest:g3b-codeowners-owner-v1,append-only correction manifest
PREV7-0204,trading-optimizer-lab-org/aurora,refs/heads/main,dfb68f34b5f9746325cf43317b134bb1ab6326aa,gtbi-readiness-state/g3a-owner-auth-close-v1,"[""docs/readiness/gtbi-v7/g3a_owner_auth_completion_receipt.json"",""docs/readiness/gtbi-v7/owner_simplification_directive.json"",""docs/readiness/gtbi-v7/owner_decisions.json"",""docs/readiness/gtbi-v7/g0_owner_controlled_foundation_report.json"",""docs/readiness/gtbi-v7/g3a_github_live_receipt.json"",""docs/readiness/gtbi-v7/frozen_data_lake_github_release_receipt.json"",""docs/readiness/gtbi-v7/github_packages_inventory_receipt.json""]",,"Production source-App definitions, keys, negative-permission evidence and exact installation-request manifests, plus only the keyless proposed definition/repository-class request for destination-owned `gtbi-dependency-extract`; no destination key creation, repository creation or installation authorization",gtbi-v7-master-plan-quality.yml,transition-manifest:g3a-owner-auth-close-v1,append-only correction manifest
PREV7-0205,trading-optimizer-lab-org/aurora,refs/heads/main,469a74f28bb6ade4a8331b7b43a20f871ba6074e,gtbi-readiness-state/g3a-minimum-governance-close-v1,"[""docs/readiness/gtbi-v7/g3a_github_live_receipt.json"",""docs/readiness/gtbi-v7/owner_simplification_directive.json""]",,Pinned Actions and minimum permissions,gtbi-v7-master-plan-quality.yml,transition-manifest:g3a-minimum-governance-close-v1,append-only correction manifest
PREV7-0206,trading-optimizer-lab-org/aurora,refs/heads/main,469a74f28bb6ade4a8331b7b43a20f871ba6074e,gtbi-readiness-state/g3a-minimum-governance-close-v1,"[""docs/readiness/gtbi-v7/g3a_github_live_receipt.json"",""docs/readiness/gtbi-v7/owner_simplification_directive.json""]",,"Dependabot, CodeQL, secret scanning and push-protection baseline",gtbi-v7-master-plan-quality.yml,transition-manifest:g3a-minimum-governance-close-v1,append-only correction manifest
PREV7-0207,trading-optimizer-lab-org/aurora,refs/heads/main,d5c76e2a297a01921dc6ad33b7665dd624b595dd,gtbi-readiness-state/g3b-stage-two-owner-v1,"[""docs/readiness/gtbi-v7/g3b_stage_two_owner_live_receipt.json"",""docs/readiness/gtbi-v7/owner_simplification_directive.json"",""docs/readiness/gtbi-v7/owner_decisions.json""]",,Stage-two protection and owner-approved automated environment checks,gtbi-v7-master-plan-quality.yml,transition-manifest:g3b-stage-two-owner-v1,append-only correction manifest
