task_id,task_definition_digest,title,gate,priority,owner_role,dependencies,required_approver_roles,approval_policy_digest,required_evidence_classification,exact_inputs,entry_conditions,exact_outputs,acceptance_criteria,activation_condition,alternative_completion,cancel_condition,rollback,rollback_trigger,repository_id,planned_files,acceptance_command,expected_result,merge_dependency,estimated_work_hours,estimated_elapsed_hours,external_lead_time_hours,planning_state,planning_blocker_code_or_null,planned_start_utc,due_at_utc,latest_start_utc,schedule_owner_role,required_participant_role_ids,required_participant_actor_ids,participant_availability_manifest_digest,participant_max_concurrent_tasks_by_actor,review_lead_time_hours,provider_or_hiring_lead_time_hours,budget_currency,estimated_cost_entries_by_domain
PREV7-0000,sha256:fce58e4512a90ed5da73258908e67079f248b8b45445fd010eaa6a8a3ab93c90,"Master plan, canonical-serialization/hash-domain bootstrap objects, owner simplification directive, passing structural validation, complete initial task/gate/event/definition/planning records and minimal bootstrap-closure controller published from latest `origin/main`",G0,P0,Implementer,[],[],sha256:77fcbf54bd29b7661aaa5dae5cf82084db6e8e72d298cb680469fd651ff12fe2,provisional_git_bootstrap,,,"Master plan, canonical-serialization/hash-domain bootstrap objects, owner simplification directive, passing structural validation, complete initial task/gate/event/definition/planning records and minimal bootstrap-closure controller published from latest `origin/main`",,,,,,,trading-optimizer-lab-org/aurora,[],,"Master plan, canonical-serialization/hash-domain bootstrap objects, owner simplification directive, passing structural validation, complete initial task/gate/event/definition/planning records and minimal bootstrap-closure controller published from latest `origin/main`",,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{}
PREV7-0001,sha256:a895aa6fcbc8c64ce26698dc9b6b96d7af9587f1566bdad057639be43f51ba2c,Regenerated emergency GitHub inventory plus non-blocking local-state receipt `inventoried|unavailable`,G0,P0,Implementer,"[""PREV7-0000""]",[],sha256:77fcbf54bd29b7661aaa5dae5cf82084db6e8e72d298cb680469fd651ff12fe2,provisional_git_bootstrap,,,Regenerated emergency GitHub inventory plus non-blocking local-state receipt `inventoried|unavailable`,,,,,,,trading-optimizer-lab-org/aurora,[],,Regenerated emergency GitHub inventory plus non-blocking local-state receipt `inventoried|unavailable`,,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{}
PREV7-0002,sha256:66ffbf14cb503784a9a942f44761474495aaae502d77483622882e7d5e6ef757,Approved cancellation manifest plus API receipts and terminal states for legacy runs,G0,P0,Repository owner,"[""PREV7-0001""]",[],sha256:77fcbf54bd29b7661aaa5dae5cf82084db6e8e72d298cb680469fd651ff12fe2,provisional_git_bootstrap,,,Approved cancellation manifest plus API receipts and terminal states for legacy runs,,,,,,,trading-optimizer-lab-org/aurora,[],,Approved cancellation manifest plus API receipts and terminal states for legacy runs,,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{}
PREV7-0003,sha256:d31b3e9e87aca86ee7c444502e10f6e059eb02e289f861c3dbfda9436d090519,"Durable V6 final-result archive, requiring the live PREV7-0012 escrow-guard receipt and promoting the emergency escrow bytes when that branch was selected",G0,P0,Implementer,"[""PREV7-0001"",""PREV7-0006"",""PREV7-0007"",""PREV7-0008""]",[],sha256:77fcbf54bd29b7661aaa5dae5cf82084db6e8e72d298cb680469fd651ff12fe2,provisional_git_bootstrap,,,"Durable V6 final-result archive, requiring the live PREV7-0012 escrow-guard receipt and promoting the emergency escrow bytes when that branch was selected",,,,,,,trading-optimizer-lab-org/aurora,[],,"Durable V6 final-result archive, requiring the live PREV7-0012 escrow-guard receipt and promoting the emergency escrow bytes when that branch was selected",,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{}
PREV7-0004,sha256:e2c0f51cb0751b065fd3b9abf6cb45cecf09f7200b88c55d41ccb3c2a04cebce,Locked evidence archive,G0,P0,Implementer,"[""PREV7-0001"",""PREV7-0006"",""PREV7-0007"",""PREV7-0008""]",[],sha256:77fcbf54bd29b7661aaa5dae5cf82084db6e8e72d298cb680469fd651ff12fe2,provisional_git_bootstrap,,,Locked evidence archive,,,,,,,trading-optimizer-lab-org/aurora,[],,Locked evidence archive,,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{}
PREV7-0005,sha256:af23058adf6d2cfefff0843075ed4858c1ed23f0339d692cd1d0a4202a536a82,V6 dependency-chain recovery report and preservation of recovered bytes,G0,P0,Implementer,"[""PREV7-0001"",""PREV7-0006"",""PREV7-0007"",""PREV7-0008""]",[],sha256:77fcbf54bd29b7661aaa5dae5cf82084db6e8e72d298cb680469fd651ff12fe2,provisional_git_bootstrap,,,V6 dependency-chain recovery report and preservation of recovered bytes,,,,,,,trading-optimizer-lab-org/aurora,[],,V6 dependency-chain recovery report and preservation of recovered bytes,,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{}
PREV7-0006,sha256:6f7760a329c1f5226b3326df25f03c13cd54894773864a5c4d4c0e5aa7efaa4e,Emergency private asset storage and evidence-classification policy,G0,P0,Repository owner,"[""PREV7-0001"",""PREV7-0009""]",[],sha256:77fcbf54bd29b7661aaa5dae5cf82084db6e8e72d298cb680469fd651ff12fe2,provisional_git_bootstrap,,,Emergency private asset storage and evidence-classification policy,,,,,,,trading-optimizer-lab-org/aurora,[],,Emergency private asset storage and evidence-classification policy,,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{}
PREV7-0007,sha256:53a5074d736d07a9f818b380164a351a16676a1b6813e6b70d14397195349b73,Short-lived private asset authentication approved jointly by repository owner and source key-broker custodian,G0,P0,Source App manager,"[""PREV7-0006"",""PREV7-0009"",""PREV7-0010""]",[],sha256:77fcbf54bd29b7661aaa5dae5cf82084db6e8e72d298cb680469fd651ff12fe2,provisional_git_bootstrap,,,Short-lived private asset authentication approved jointly by repository owner and source key-broker custodian,,,,,,,trading-optimizer-lab-org/aurora,[],,Short-lived private asset authentication approved jointly by repository owner and source key-broker custodian,,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,,source_app_manager,"[""source_app_manager""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{}
PREV7-0008,sha256:4770c88ba25976c54211a8e76a3b2ae1c5108cf62b73ec59dd172935505989e6,"Registered fail-closed V6 final, locked-evidence and recovered-byte preservation/restore workflows",G0,P0,Implementer,"[""PREV7-0001"",""PREV7-0006"",""PREV7-0007""]",[],sha256:77fcbf54bd29b7661aaa5dae5cf82084db6e8e72d298cb680469fd651ff12fe2,provisional_git_bootstrap,,,"Registered fail-closed V6 final, locked-evidence and recovered-byte preservation/restore workflows",,,,,,,trading-optimizer-lab-org/aurora,[],,"Registered fail-closed V6 final, locked-evidence and recovered-byte preservation/restore workflows",,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{}
PREV7-0009,sha256:286df555e1933cfdabccea5170df356dde8064ebe822ffef5875e6df0e626c1b,"GitHub-native owner-controlled access foundation, provider/account/region/cost cap and tested bootstrap/import/rotation/recovery/teardown paths",G0,P0,Repository owner,"[""PREV7-0001""]",[],sha256:77fcbf54bd29b7661aaa5dae5cf82084db6e8e72d298cb680469fd651ff12fe2,provisional_git_bootstrap,,,"GitHub-native owner-controlled access foundation, provider/account/region/cost cap and tested bootstrap/import/rotation/recovery/teardown paths",,,,,,,trading-optimizer-lab-org/aurora,[],,"GitHub-native owner-controlled access foundation, provider/account/region/cost cap and tested bootstrap/import/rotation/recovery/teardown paths",,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:14b5266364b2c255d4f5e7796970d192d20d1c1066cd9cbf1f72b02048cfb72e,"{""github-user:271768688"":1}",,,USD,{}
