rank,family_id,family_name,evidence_track,primary_source_count,evidence_quality,daily_causality,free_data_feasibility,direct_plus_minus_one_fit,complexity,principal_failure_modes,priority_tier,reason_for_rank,candidate_count,top_candidate_ids
1,overnight_intraday_tug,Overnight–intraday tug of war,pre_2011_evidence,2,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,high,high; score/event maps symmetrically to persistent +1/-1,2,Segment effects may be unconditional rather than predictive; open data are sensitive to corporate actions and stale prints.,A,Trading and non-trading intervals can reflect different information and inventory mechanisms; the sign is tested both ways ex ante.,6,"[""V2STRAT0001"", ""V2STRAT0002""]"
2,semivariance_balance,Daily signed semivariance balance,pre_2011_evidence,2,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,high,high; score/event maps symmetrically to persistent +1/-1,2,Daily semivariance is a coarse proxy for a high-frequency concept; high downside variation can imply either continuation or rebound.,A,Asymmetric upside and downside variation may reveal a risk state not captured by total realized volatility.,6,"[""V2STRAT0031"", ""V2STRAT0032""]"
3,signed_volume_pressure,Signed abnormal-volume pressure,pre_2011_evidence,4,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,high,high; score/event maps symmetrically to persistent +1/-1,2,"ETF volume reflects creations, hedging and microstructure, not only information; cross-sectional evidence may not transfer.",A,Direction weighted by abnormal volume tests whether high-information moves are more persistent than low-volume moves.,6,"[""V2STRAT0091"", ""V2STRAT0092""]"
4,autocorrelation_switch,Rolling autocorrelation continuation/reversal switch,pre_2011_evidence,2,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,high,high; score/event maps symmetrically to persistent +1/-1,3,"Autocorrelation can be unstable, biased by outliers and contaminated by nonstationarity.",A,Estimated positive serial dependence continues the corresponding recent move; negative dependence reverses it.,6,"[""V2STRAT0061"", ""V2STRAT0062""]"
5,variance_ratio_switch,Variance-ratio continuation/reversal switch,pre_2011_evidence,2,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,high,high; score/event maps symmetrically to persistent +1/-1,4,Overlapping-return estimates are noisy and serially dependent; implementation must match the frozen estimator exactly.,A,A variance ratio above one supports continuation of the recent q-period move; below one supports reversal.,6,"[""V2STRAT0055"", ""V2STRAT0056""]"
6,close_location_pressure,Close-location pressure,pre_2011_evidence,1,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,high,high; score/event maps symmetrically to persistent +1/-1,1,Closing-auction effects and price discreteness can dominate; the statistic may be mostly contemporaneous.,A,Where the close lies inside the daily range is an OHLC pressure statistic unavailable to close-only momentum rules.,6,"[""V2STRAT0013"", ""V2STRAT0014""]"
7,gap_body_interaction,Gap/body agreement and rejection,pre_2011_evidence,2,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,high,high; score/event maps symmetrically to persistent +1/-1,2,"Most apparent rejection may occur before the close, leaving little next-open predictability.",A,Agreement measures information continuation through the close; rejection uses the intraday direction when the opening gap is reversed.,6,"[""V2STRAT0007"", ""V2STRAT0008""]"
8,range_volatility_ratio,Range-volatility conditioned direction,pre_2011_evidence,2,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,high,high; score/event maps symmetrically to persistent +1/-1,3,"The directional mapping is an explicit hypothesis, not a result established by the volatility-estimation papers.",A,Range-based volatility is efficient; this rule continues an established direction when short-run range volatility is below its long-run state and reverses it when volatility expands.,6,"[""V2STRAT0025"", ""V2STRAT0026""]"
9,sector_etf_breadth,Fixed-sector ETF breadth,pre_2011_evidence,2,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,medium_after_fixed_ETF_adapter,high; score/event maps symmetrically to persistent +1/-1,3,"The panel begins in late 1998, yields a short train span and includes sector-index methodology changes.",B,A fixed ETF panel provides broad participation information without using current S&P 500 constituents as historical membership.,6,"[""V2STRAT0103"", ""V2STRAT0104""]"
10,momentum_consistency,Directional consistency of daily returns,pre_2011_evidence,2,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,high,high; score/event maps symmetrically to persistent +1/-1,1,Many small positive days can coexist with one large loss; magnitude information is intentionally discarded.,B,The fraction of positive versus negative days measures path consistency independent of return magnitude.,6,"[""V2STRAT0085"", ""V2STRAT0086""]"
11,range_body_pressure,Intraday body pressure,pre_2011_evidence,2,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,high,high; score/event maps symmetrically to persistent +1/-1,1,The body is part of the already observed daily return and may add no predictive information.,B,Normalizing the open-to-close body by the full range distinguishes directional conviction from absolute movement.,6,"[""V2STRAT0019"", ""V2STRAT0020""]"
12,fifty_two_week_state,Trailing-high reference-price state,pre_2011_evidence,1,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,high,high; score/event maps symmetrically to persistent +1/-1,1,The original evidence is cross-sectional and may not transfer to aggregate market timing.,B,Distance from a salient trailing high can summarize trend and anchoring with one bounded statistic.,6,"[""V2STRAT0073"", ""V2STRAT0074""]"
13,regression_trend_tstat,Rolling log-price slope t-statistic,pre_2011_evidence,1,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,high,high; score/event maps symmetrically to persistent +1/-1,4,HAC choices and deterministic trend assumptions may be fragile; no parameters may be retuned.,B,"Slope significance combines direction and path consistency, unlike raw endpoint momentum.",6,"[""V2STRAT0067"", ""V2STRAT0068""]"
