feature_id,family,feature_name,formula,inputs,lookback,frequency,available_at,causal_lag,normalization,missing_data_rule,warmup,point_in_time_requirement,canonical_hash_basis,research_source_ids,candidate_strategy_ids,risk_notes
V2FEAT0001,overnight_intraday_tug,Overnight–intraday tug of war — TUG_CONT_1,base_t = SUM_{i=0..0}(r_on_(t-i) - r_id_(t-i)); score_t = base_t,"[""V2DS001"", ""V2DS002"", ""V2DS003""]",2,daily decision,after SPY regular-session close t,0 sessions after close for market data; execution remains next open,frozen in formula; rolling/expanding only,Do not future-fill. Preserve prior position until all required inputs are causally available.,2,Fixed ETF identity and actual inception; no current-constituent history; no observation after t.,c015e4852bd963985962fa2872ac8f890495810faf93d7d35d9fc5d26f23a285,"[""SRC0250"", ""SRC0251""]","[""V2STRAT0001""]",Segment effects may be unconditional rather than predictive; open data are sensitive to corporate actions and stale prints.
V2FEAT0002,overnight_intraday_tug,Overnight–intraday tug of war — TUG_CONT_5,base_t = SUM_{i=0..4}(r_on_(t-i) - r_id_(t-i)); score_t = base_t,"[""V2DS001"", ""V2DS002"", ""V2DS003""]",6,daily decision,after SPY regular-session close t,0 sessions after close for market data; execution remains next open,frozen in formula; rolling/expanding only,Do not future-fill. Preserve prior position until all required inputs are causally available.,6,Fixed ETF identity and actual inception; no current-constituent history; no observation after t.,d805808579ea4cb7dce1145258c8e74f2cf5a42146b4bfed6ddfa3bc9f094f86,"[""SRC0250"", ""SRC0251""]","[""V2STRAT0002""]",Segment effects may be unconditional rather than predictive; open data are sensitive to corporate actions and stale prints.
V2FEAT0003,overnight_intraday_tug,Overnight–intraday tug of war — TUG_CONT_20,base_t = SUM_{i=0..19}(r_on_(t-i) - r_id_(t-i)); score_t = base_t,"[""V2DS001"", ""V2DS002"", ""V2DS003""]",21,daily decision,after SPY regular-session close t,0 sessions after close for market data; execution remains next open,frozen in formula; rolling/expanding only,Do not future-fill. Preserve prior position until all required inputs are causally available.,21,Fixed ETF identity and actual inception; no current-constituent history; no observation after t.,60e71c6879b15050a7bea248d2b9b7147fee8fd70452345be171f7c510f8bd83,"[""SRC0250"", ""SRC0251""]","[""V2STRAT0003""]",Segment effects may be unconditional rather than predictive; open data are sensitive to corporate actions and stale prints.
V2FEAT0004,overnight_intraday_tug,Overnight–intraday tug of war — TUG_REVERSE_1,base_t = SUM_{i=0..0}(r_on_(t-i) - r_id_(t-i)); score_t = -base_t,"[""V2DS001"", ""V2DS002"", ""V2DS003""]",2,daily decision,after SPY regular-session close t,0 sessions after close for market data; execution remains next open,frozen in formula; rolling/expanding only,Do not future-fill. Preserve prior position until all required inputs are causally available.,2,Fixed ETF identity and actual inception; no current-constituent history; no observation after t.,7f490189362b12351ac705f31a6ce0d7838f9b5f7a4ea051217e2e831ebb6759,"[""SRC0250"", ""SRC0251""]","[""V2STRAT0004""]",Segment effects may be unconditional rather than predictive; open data are sensitive to corporate actions and stale prints.
V2FEAT0005,overnight_intraday_tug,Overnight–intraday tug of war — TUG_REVERSE_5,base_t = SUM_{i=0..4}(r_on_(t-i) - r_id_(t-i)); score_t = -base_t,"[""V2DS001"", ""V2DS002"", ""V2DS003""]",6,daily decision,after SPY regular-session close t,0 sessions after close for market data; execution remains next open,frozen in formula; rolling/expanding only,Do not future-fill. Preserve prior position until all required inputs are causally available.,6,Fixed ETF identity and actual inception; no current-constituent history; no observation after t.,fde1ecc615f6fcc808094b7200218eb8a326f7020451449666412855988ca3e1,"[""SRC0250"", ""SRC0251""]","[""V2STRAT0005""]",Segment effects may be unconditional rather than predictive; open data are sensitive to corporate actions and stale prints.
V2FEAT0006,overnight_intraday_tug,Overnight–intraday tug of war — TUG_REVERSE_20,base_t = SUM_{i=0..19}(r_on_(t-i) - r_id_(t-i)); score_t = -base_t,"[""V2DS001"", ""V2DS002"", ""V2DS003""]",21,daily decision,after SPY regular-session close t,0 sessions after close for market data; execution remains next open,frozen in formula; rolling/expanding only,Do not future-fill. Preserve prior position until all required inputs are causally available.,21,Fixed ETF identity and actual inception; no current-constituent history; no observation after t.,cad550533325dd1647cf5b9f00128a57e0242504cf55f1804470e62a984e26c2,"[""SRC0250"", ""SRC0251""]","[""V2STRAT0006""]",Segment effects may be unconditional rather than predictive; open data are sensitive to corporate actions and stale prints.
V2FEAT0007,gap_body_interaction,Gap/body agreement and rejection — GAP_BODY_AGREE_1,x_s = (r_on_s + r_id_s) if sign(r_on_s)=sign(r_id_s) and both nonzero else 0; y_s = r_id_s if sign(r_on_s) != sign(r_id_s) and both nonzero else 0; score_t = SUM_{s=t-0..t}(x_s),"[""V2DS001"", ""V2DS002"", ""V2DS003""]",2,daily decision,after SPY regular-session close t,0 sessions after close for market data; execution remains next open,frozen in formula; rolling/expanding only,Do not future-fill. Preserve prior position until all required inputs are causally available.,2,Fixed ETF identity and actual inception; no current-constituent history; no observation after t.,eee0b60280342debd2d77d8ade68f9e0c264d82b2a67d5b0696698275610e723,"[""SRC0250"", ""SRC0251""]","[""V2STRAT0007""]","Most apparent rejection may occur before the close, leaving little next-open predictability."
V2FEAT0008,gap_body_interaction,Gap/body agreement and rejection — GAP_BODY_AGREE_5,x_s = (r_on_s + r_id_s) if sign(r_on_s)=sign(r_id_s) and both nonzero else 0; y_s = r_id_s if sign(r_on_s) != sign(r_id_s) and both nonzero else 0; score_t = SUM_{s=t-4..t}(x_s),"[""V2DS001"", ""V2DS002"", ""V2DS003""]",6,daily decision,after SPY regular-session close t,0 sessions after close for market data; execution remains next open,frozen in formula; rolling/expanding only,Do not future-fill. Preserve prior position until all required inputs are causally available.,6,Fixed ETF identity and actual inception; no current-constituent history; no observation after t.,6f5b47a976fedcd1a5758805c207b26cbba3ff3187f2f3a57f21b8ed9cd40364,"[""SRC0250"", ""SRC0251""]","[""V2STRAT0008""]","Most apparent rejection may occur before the close, leaving little next-open predictability."
V2FEAT0009,gap_body_interaction,Gap/body agreement and rejection — GAP_BODY_AGREE_20,x_s = (r_on_s + r_id_s) if sign(r_on_s)=sign(r_id_s) and both nonzero else 0; y_s = r_id_s if sign(r_on_s) != sign(r_id_s) and both nonzero else 0; score_t = SUM_{s=t-19..t}(x_s),"[""V2DS001"", ""V2DS002"", ""V2DS003""]",21,daily decision,after SPY regular-session close t,0 sessions after close for market data; execution remains next open,frozen in formula; rolling/expanding only,Do not future-fill. Preserve prior position until all required inputs are causally available.,21,Fixed ETF identity and actual inception; no current-constituent history; no observation after t.,ad19c4ce9891ab51902939e6bc77ec81f8fb78bbb6040ade2f5369c4f7a16b7f,"[""SRC0250"", ""SRC0251""]","[""V2STRAT0009""]","Most apparent rejection may occur before the close, leaving little next-open predictability."
V2FEAT0010,gap_body_interaction,Gap/body agreement and rejection — GAP_REJECT_BODY_1,x_s = (r_on_s + r_id_s) if sign(r_on_s)=sign(r_id_s) and both nonzero else 0; y_s = r_id_s if sign(r_on_s) != sign(r_id_s) and both nonzero else 0; score_t = SUM_{s=t-0..t}(y_s),"[""V2DS001"", ""V2DS002"", ""V2DS003""]",2,daily decision,after SPY regular-session close t,0 sessions after close for market data; execution remains next open,frozen in formula; rolling/expanding only,Do not future-fill. Preserve prior position until all required inputs are causally available.,2,Fixed ETF identity and actual inception; no current-constituent history; no observation after t.,97db692b846559bb98afba75b08d0a4ca48609c3633cb4d7a65c7f610369bc06,"[""SRC0250"", ""SRC0251""]","[""V2STRAT0010""]","Most apparent rejection may occur before the close, leaving little next-open predictability."
