concept_index,family,concept,trigger_type,rationale,strategies
0,long_trend_pullback,ema20_pullback_continuation,pullback_reclaim,"Buy a fundamentally selected leader on a controlled pullback and reclaim, then give the trade enough time to compound.",1200
1,long_trend_pullback,sma50_first_touch_rebound,market_aware_leader_reentry,Use market pullbacks to time entries in fundamentally selected leaders.,1200
2,long_trend_pullback,ema21_reclaim_after_dip,shakeout_reclaim,"Buy reclaim behavior after a shakeout, intended as an entry timing overlay after fundamental selection.",1200
3,long_trend_pullback,rising_50d_base_reclaim,base_breakout,"Buy a durable breakout from a base, but use wider exits and longer holding windows than the previous short-hold pack.",1200
4,long_trend_pullback,ten_week_pullback_reclaim_proxy,pullback_reclaim,"Buy a fundamentally selected leader on a controlled pullback and reclaim, then give the trade enough time to compound.",1200
5,long_trend_pullback,higher_low_trend_reentry,market_aware_leader_reentry,Use market pullbacks to time entries in fundamentally selected leaders.,1200
6,relative_strength_leadership,rs_leader_pullback_to_ema20,pullback_reclaim,"Buy a fundamentally selected leader on a controlled pullback and reclaim, then give the trade enough time to compound.",1200
7,relative_strength_leadership,rs_new_high_before_price_breakout,base_breakout,"Buy a durable breakout from a base, but use wider exits and longer holding windows than the previous short-hold pack.",1200
8,relative_strength_leadership,rs_line_reclaim_after_market_dip,shakeout_reclaim,"Buy reclaim behavior after a shakeout, intended as an entry timing overlay after fundamental selection.",1200
9,relative_strength_leadership,rs_3m_acceleration_pullback,pullback_reclaim,"Buy a fundamentally selected leader on a controlled pullback and reclaim, then give the trade enough time to compound.",1200
10,relative_strength_leadership,rs_momentum_base_breakout,base_breakout,"Buy a durable breakout from a base, but use wider exits and longer holding windows than the previous short-hold pack.",1200
11,relative_strength_leadership,rs_momentum_consolidation_reclaim,shakeout_reclaim,"Buy reclaim behavior after a shakeout, intended as an entry timing overlay after fundamental selection.",1200
12,base_breakout_long_hold,fifty_two_week_high_base_breakout_hold,base_breakout,"Buy a durable breakout from a base, but use wider exits and longer holding windows than the previous short-hold pack.",1200
13,base_breakout_long_hold,donchian_55_breakout_trend_hold,base_breakout,"Buy a durable breakout from a base, but use wider exits and longer holding windows than the previous short-hold pack.",1200
14,base_breakout_long_hold,volatility_contraction_breakout_long_hold,base_breakout,"Buy a durable breakout from a base, but use wider exits and longer holding windows than the previous short-hold pack.",1200
15,base_breakout_long_hold,flat_base_breakout_volume_confirm,base_breakout,"Buy a durable breakout from a base, but use wider exits and longer holding windows than the previous short-hold pack.",1200
16,base_breakout_long_hold,cup_handle_breakout_proxy_long_hold,base_breakout,"Buy a durable breakout from a base, but use wider exits and longer holding windows than the previous short-hold pack.",1200
17,base_breakout_long_hold,base_on_base_breakout_long_hold,base_breakout,"Buy a durable breakout from a base, but use wider exits and longer holding windows than the previous short-hold pack.",1200
