rank,family_id,family_name,evidence_track,primary_source_count,evidence_quality,daily_causality,free_data_feasibility,direct_plus_minus_one_fit,complexity,principal_failure_modes,priority_tier,reason_for_rank,candidate_count,top_candidate_ids
1,price_trend_sma,Price versus simple moving average,pre_2011_evidence,19,high,high,high,high,1,whipsaw in sideways markets; sharp rebound after short state,A,Direct symmetric price-state signal with long historical evidence.,6,"[""STRAT0001"", ""STRAT0002"", ""STRAT0003""]"
2,time_series_momentum,Own-return time-series momentum,post_2010_research,14,high,high,high,high,1,momentum crashes; horizon instability,A,Strong directional mechanism but publication after the train boundary.,6,"[""STRAT0007"", ""STRAT0008"", ""STRAT0009""]"
3,short_horizon_reversal,Short-horizon return reversal,pre_2011_evidence,11,high,high,high,high,1,overnight correction before next open; high turnover,A,Direct contrarian sign with substantial liquidity-based evidence.,6,"[""STRAT0013"", ""STRAT0014"", ""STRAT0015""]"
4,vix_term_structure,VIX term-structure risk state,pre_2011_evidence,18,medium_high,medium_high,high,high,2,short history; backfilled dissemination; crisis whipsaw,A,Causal option-market stress state with explicit bullish/bearish sign.,6,"[""STRAT0019"", ""STRAT0020"", ""STRAT0021""]"
5,simple_rule_ensemble,Fixed equal-weight simple-rule ensemble,pre_2011_evidence,28,high,high,high,high,3,correlated votes; hidden effective multiplicity,A,Forecast-combination evidence supports fixed votes without validation weighting.,6,"[""STRAT0025"", ""STRAT0026"", ""STRAT0027""]"
6,trend_ensemble,Multi-horizon trend vote,post_2010_research,36,high,high,high,high,2,correlated horizons; rebound losses,A,Reduces single-horizon dependence while remaining interpretable.,6,"[""STRAT0031"", ""STRAT0032"", ""STRAT0033""]"
7,dual_ma_cross,Fast/slow moving-average crossover,pre_2011_evidence,19,high,high,high,high,1,lag and whipsaw,A,Classic symmetric trend rule.,6,"[""STRAT0037"", ""STRAT0038"", ""STRAT0039""]"
8,price_breakout,Prior-range price breakout,pre_2011_evidence,19,high,high,high,high,1,false breakouts; sparse switches,A,Classic directional support/resistance rule.,6,"[""STRAT0043"", ""STRAT0044"", ""STRAT0045""]"
9,volume_conditioned_reversal,Volume-gated reversal,pre_2011_evidence,17,medium_high,high,high,high,2,volume definition changes; overnight recovery,B,Economic liquidity mechanism improves interpretability of reversal.,6,"[""STRAT0049"", ""STRAT0050"", ""STRAT0051""]"
10,variance_risk_premium_proxy,Free variance-risk-premium proxy,pre_2011_evidence,14,high,medium,medium_high,medium,2,proxy error; sign/decomposition ambiguity,B,"Strong literature, but free VIX-squared minus realized variance is not exact VRP.",6,"[""STRAT0055"", ""STRAT0056"", ""STRAT0057""]"
11,vix_extreme_reversal,VIX extreme panic reversal,pre_2011_evidence,16,medium_high,high,medium_high,high,2,extreme thresholds; short side weak,B,Extreme fear may precede rebound; opposing sign is separately tested.,6,"[""STRAT0061"", ""STRAT0062"", ""STRAT0063""]"
12,vix_level_change,VIX level/change continuation,pre_2011_evidence,4,medium_high,high,high,high,1,contemporaneous versus predictive confusion,B,Simple causal stress-change signal.,6,"[""STRAT0067"", ""STRAT0068"", ""STRAT0069""]"
